iter	Passed	Remaining
0	215	215291
1	217	108725
2	220	73154
3	222	55304
4	224	44604
5	226	37456
6	227	32341
7	230	28553
8	233	25714
9	236	23390
10	239	21502
11	244	20165
12	247	18787
13	250	17623
14	253	16619
15	256	15748
16	260	15085
17	263	14372
18	265	13731
19	268	13151
20	275	12843
21	278	12389
22	281	11954
23	283	11540
24	289	11285
25	291	10934
26	294	10620
27	296	10309
28	337	11317
29	341	11030
30	343	10747
31	357	10802
32	371	10886
33	378	10758
34	401	11079
35	406	10886
36	409	10654
37	458	11597
38	463	11427
39	466	11194
40	469	10974
41	471	10765
42	474	10568
43	479	10410
44	481	10226
45	484	10046
46	487	9878
47	491	9757
48	504	9785
49	510	9701
50	513	9549
51	516	9421
52	519	9283
53	523	9174
54	526	9051
55	529	8927
56	569	9427
57	574	9328
58	578	9231
59	592	9289
60	597	9191
61	599	9073
62	603	8972
63	607	8877
64	627	9023
65	636	9006
66	640	8921
67	642	8812
68	656	8852
69	658	8752
70	661	8653
71	664	8561
72	667	8478
73	671	8405
74	674	8321
75	678	8244
76	683	8195
77	686	8111
78	689	8032
79	691	7956
80	699	7931
81	702	7861
82	705	7792
83	708	7724
84	713	7679
85	716	7616
86	718	7543
87	721	7479
88	725	7427
89	728	7367
90	730	7301
91	733	7239
92	737	7195
93	742	7151
94	744	7096
95	747	7043
96	750	6985
97	752	6930
98	756	6886
99	759	6832
100	761	6780
101	762	6717
102	765	6667
103	769	6632
104	772	6585
105	774	6533
106	776	6481
107	778	6429
108	780	6379
109	782	6332
110	786	6299
111	789	6256
112	791	6210
113	793	6164
114	795	6121
115	797	6075
116	802	6057
117	805	6020
118	808	5982
119	811	5951
120	815	5923
121	817	5886
122	819	5845
123	822	5807
124	824	5769
125	826	5732
126	829	5702
127	831	5661
128	833	5626
129	835	5590
130	837	5554
131	839	5519
132	842	5491
133	845	5461
134	847	5427
135	849	5395
136	851	5363
137	853	5328
138	855	5299
139	858	5275
140	860	5244
141	862	5213
142	864	5182
143	866	5152
144	868	5123
145	871	5095
146	873	5069
147	875	5040
148	877	5011
149	879	4982
150	881	4954
151	882	4926
152	884	4898
153	887	4877
154	889	4851
155	892	4826
156	893	4800
157	896	4776
158	898	4752
159	901	4734
160	904	4715
161	906	4690
162	908	4666
163	910	4641
164	912	4617
165	914	4593
166	917	4575
167	919	4552
168	921	4528
169	922	4504
170	924	4481
171	925	4457
172	927	4435
173	930	4418
174	932	4397
175	934	4375
176	936	4353
177	937	4331
178	939	4309
179	941	4288
180	942	4263
181	944	4246
182	947	4227
183	948	4207
184	950	4187
185	951	4166
186	953	4145
187	954	4124
188	956	4104
189	959	4088
190	961	4071
191	962	4052
192	964	4033
193	966	4013
194	967	3993
195	968	3973
196	970	3954
197	972	3938
198	975	3927
199	977	3909
200	979	3892
201	980	3874
202	982	3856
203	983	3838
204	985	3820
205	987	3804
206	989	3791
207	991	3776
208	993	3759
209	994	3742
210	996	3725
211	997	3708
212	999	3691
213	1000	3675
214	1002	3659
215	1004	3646
216	1006	3630
217	1007	3614
218	1009	3598
219	1010	3582
220	1011	3566
221	1013	3551
222	1015	3536
223	1017	3525
224	1020	3514
225	1021	3499
226	1023	3484
227	1024	3469
228	1026	3454
229	1027	3439
230	1029	3425
231	1030	3412
232	1033	3403
233	1035	3390
234	1037	3377
235	1038	3363
236	1040	3349
237	1041	3335
238	1043	3322
239	1044	3309
240	1047	3298
241	1049	3287
242	1051	3274
243	1052	3261
244	1054	3248
245	1055	3236
246	1057	3222
247	1058	3210
248	1061	3200
249	1063	3190
250	1064	3177
251	1066	3164
252	1067	3152
253	1069	3139
254	1070	3127
255	1071	3115
256	1073	3104
257	1076	3094
258	1078	3085
259	1080	3074
260	1081	3063
261	1083	3051
262	1084	3039
263	1086	3028
264	1087	3017
265	1089	3006
266	1091	2997
267	1093	2987
268	1095	2976
269	1096	2965
270	1098	2954
271	1099	2943
272	1100	2931
273	1102	2920
274	1103	2910
275	1106	2902
276	1108	2892
277	1109	2881
278	1111	2871
279	1112	2860
280	1114	2850
281	1115	2840
282	1116	2829
283	1118	2820
284	1121	2813
285	1122	2803
286	1124	2793
287	1125	2783
288	1127	2772
289	1128	2763
290	1130	2753
291	1131	2743
292	1133	2734
293	1136	2728
294	1137	2719
295	1139	2709
296	1140	2700
297	1142	2691
298	1143	2681
299	1145	2672
300	1146	2663
301	1149	2656
302	1151	2648
303	1153	2639
304	1154	2630
305	1155	2621
306	1157	2612
307	1158	2603
308	1160	2594
309	1161	2586
310	1164	2579
311	1166	2572
312	1168	2564
313	1169	2555
314	1170	2546
315	1172	2537
316	1173	2529
317	1175	2520
318	1176	2512
319	1179	2506
320	1181	2499
321	1183	2491
322	1184	2482
323	1186	2474
324	1187	2466
325	1189	2458
326	1190	2450
327	1192	2443
328	1195	2437
329	1196	2429
330	1198	2422
331	1199	2413
332	1201	2405
333	1202	2398
334	1204	2390
335	1205	2382
336	1208	2377
337	1211	2371
338	1212	2364
339	1214	2357
340	1215	2349
341	1217	2341
342	1218	2334
343	1220	2327
344	1222	2321
345	1225	2315
346	1226	2308
347	1228	2300
348	1229	2293
349	1230	2285
350	1232	2278
351	1233	2270
352	1235	2263
353	1237	2258
354	1239	2252
355	1240	2244
356	1242	2237
357	1243	2230
358	1245	2223
359	1246	2216
360	1247	2208
361	1249	2201
362	1250	2195
363	1253	2190
364	1255	2184
365	1257	2178
366	1258	2171
367	1260	2165
368	1262	2158
369	1263	2151
370	1265	2145
371	1267	2140
372	1269	2133
373	1270	2127
