iter	Passed	Remaining
0	159	159043
1	167	83800
2	173	57591
3	179	44637
4	184	36681
5	190	31569
6	194	27597
7	196	24400
8	198	21904
9	200	19895
10	202	18245
11	205	16895
12	207	15770
13	210	14796
14	212	13935
15	214	13171
16	216	12502
17	218	11920
18	220	11398
19	223	10940
20	225	10508
21	227	10109
22	229	9748
23	231	9423
24	234	9132
25	237	8894
26	239	8635
27	241	8388
28	243	8154
29	245	7944
30	248	7766
31	251	7599
32	253	7437
33	255	7270
34	257	7106
35	259	6955
36	262	6823
37	264	6697
38	267	6584
39	269	6464
40	271	6347
41	273	6235
42	275	6127
43	277	6027
44	280	5945
45	282	5860
46	284	5769
47	286	5682
48	288	5602
49	291	5537
50	294	5485
51	296	5414
52	298	5342
53	301	5274
54	302	5205
55	305	5146
56	308	5105
57	310	5050
58	313	4994
59	315	4936
60	317	4880
61	318	4825
62	323	4806
63	325	4755
64	326	4702
65	328	4648
66	329	4594
67	331	4541
68	332	4490
69	334	4438
70	336	4398
71	338	4363
72	340	4322
73	341	4279
74	343	4233
75	344	4190
76	346	4148
77	347	4108
78	348	4067
79	350	4034
80	353	4006
81	354	3973
82	355	3931
83	357	3895
84	358	3860
85	359	3825
86	361	3792
87	362	3759
88	364	3730
89	366	3710
90	369	3687
91	370	3661
92	372	3634
93	374	3608
94	375	3580
95	377	3554
96	380	3539
97	383	3528
98	385	3506
99	386	3482
100	388	3457
101	390	3434
102	391	3412
103	393	3392
104	396	3379
105	398	3361
106	400	3340
107	401	3317
108	403	3295
109	404	3273
110	406	3253
111	407	3232
112	409	3215
113	412	3204
114	414	3187
115	415	3169
116	417	3149
117	418	3129
118	420	3110
119	421	3090
120	423	3076
121	425	3061
122	427	3048
123	429	3033
124	431	3017
125	432	3000
126	433	2982
127	435	2966
128	437	2953
129	439	2941
130	441	2928
131	443	2915
132	444	2900
133	446	2885
134	447	2870
135	449	2854
136	450	2840
137	452	2827
138	455	2818
139	456	2806
140	458	2791
141	459	2774
142	460	2761
143	462	2747
144	463	2732
145	465	2720
146	466	2708
147	469	2702
148	471	2693
149	473	2680
150	474	2668
151	475	2655
152	477	2642
153	478	2630
154	480	2618
155	482	2610
156	485	2608
157	488	2601
158	489	2590
159	491	2580
160	492	2567
161	494	2556
162	496	2547
163	497	2538
164	501	2539
165	503	2531
166	505	2521
167	507	2511
168	508	2502
169	510	2492
170	513	2487
171	515	2481
172	517	2474
173	519	2468
174	521	2460
175	523	2451
176	525	2444
177	528	2438
178	530	2432
179	532	2426
180	534	2418
181	536	2409
182	537	2401
183	539	2392
184	541	2386
185	544	2381
186	546	2375
187	548	2367
188	549	2359
189	551	2350
190	552	2341
191	555	2337
192	558	2334
193	560	2327
194	561	2319
195	563	2311
196	565	2303
197	566	2296
198	568	2288
199	570	2282
200	573	2278
201	574	2271
202	576	2262
203	577	2255
204	579	2247
205	581	2239
206	582	2231
207	584	2225
208	586	2218
209	588	2212
210	590	2207
211	591	2199
212	593	2192
213	594	2184
214	596	2176
215	597	2170
216	600	2165
217	601	2159
218	603	2151
219	604	2143
220	605	2135
221	607	2128
222	608	2121
223	610	2113
224	611	2106
225	613	2101
226	616	2098
227	617	2091
228	619	2084
229	620	2077
230	622	2071
231	623	2064
232	625	2057
233	626	2050
234	628	2044
235	630	2039
236	631	2034
237	633	2027
238	634	2021
239	636	2014
240	637	2008
241	639	2001
242	640	1995
243	641	1988
244	643	1984
245	645	1978
246	647	1972
247	648	1966
248	649	1960
249	651	1953
250	652	1947
251	654	1942
252	655	1936
253	657	1932
254	659	1927
255	661	1922
256	662	1915
257	664	1909
258	665	1903
259	666	1898
260	668	1892
261	669	1886
262	671	1881
263	673	1877
264	675	1873
265	676	1867
266	678	1861
267	679	1856
268	680	1850
269	682	1844
270	683	1839
271	684	1833
272	686	1828
273	688	1825
274	690	1820
275	691	1815
276	693	1809
277	694	1804
278	696	1799
279	697	1793
280	698	1788
281	700	1784
282	702	1780
283	704	1776
284	705	1771
285	707	1766
286	708	1760
287	710	1755
288	711	1750
289	712	1745
290	714	1740
291	715	1735
292	718	1732
293	719	1727
294	720	1722
295	722	1717
296	723	1712
297	725	1707
298	726	1702
299	727	1697
300	729	1692
301	730	1688
302	732	1685
303	734	1681
304	735	1676
305	737	1672
306	738	1667
307	740	1663
308	742	1659
309	743	1655
310	745	1652
311	747	1647
312	748	1642
313	749	1638
